title,size_m2,price,latitude,longitude
"PH Aventura, El Dorado - Apartamento en Venta!",64,105000,9.0067808,-79.5391113
"Apartamento de Playa, Buenaventura, P. H. Puntarena, 262 m&sup2;.",262,698000,8.343563798663432,-80.17578805137327
Venta de Apartamento en Santa Maria,381,1053000,9.027382740063844,-79.45492323893734
Ocean Two - Venta - Costa del Este,303,725000,9.009636663701139,-79.46548464495237
Apartamento en Venta en Marbella 20 - 7101 Yd,140,435984,8.979902960807717,-79.51731696765899
"PH Santa Elena, Santa Elena (Negociable) /eg",96,138000,,
"PH Costa Pacifica - Penthouse - 265 m&sup2; - Piso Alto - $387,000usd",265,387000,8.97965804997127,-79.51158992462769
Costa del Este Vendo Apartamento Primera Linea de Mar,270,742500,9.0089049,-79.47430810000003
"Blue Bahia, Distinguido E Impecable! Rl",287,599000,,
"PH Arrecife, Punta Paitilla",130,210000,,
Apartamento con Terreza de 100 m&sup2; en Planta Baja,77,155000,9.033327,-79.51274189999998
"Apartamento en Venta, Embassy Club (Sin Intermediario)",203,680000,8.993054700000165,-79.56084248783566
Vendo Apt en Via Argentina Reposeido Id7103,1,375000,8.9899069,-79.53027559999998
"Apartamento en PH Nautica Tower, Coco del Mar, 148 m&sup2;",148,315000,9.003786581317964,-79.49474446004945
Apartamento Scala en Venta en El Carmen ID 8886,97,204500,8.993122609813033,-79.52496092621152
Venta de Apartamento en Av Balboa,103,226600,8.969959417739998,-79.5316190950689
"Costa del Este - Vista Al Mar Amoblado - 138 m&sup2; - 310,000",138,310000,9.016163018605143,-79.46705461055035
Excelente Vista a La Ciudad,95,185000,8.9974011,-79.52474899999999
"Apartamento en Venta, en Embassy Club",174,350000,8.9930547,-79.56017729999996
Greenwood Towers - Entrega Mediados 2020,61,155600,9.03239630260195,-79.51253234655763
Apartamento en San Francisco en Venta Id: 9814,97,155000,,
San Francisco PH Infinity Apartamento en Venta,1,330000,,
Venta de Espectacular Apartamento en Paitilla 20 - 6061 Mps,193,345000,8.976106428416731,-79.51399325767213
Se Vende Lindo Apartamento en El PH. Greenview,215,500000,,
Centrico y Lujoso Apartamento en Marbella 1h/1b/1e,108,245000,8.979902960807717,-79.51731696765899
Venta PH La Torraca 115 m&sup2; 3rec San Francisco,115,205000,8.9960801,-79.5060611
The Reserve - Santa Maria,232,499000,9.025389867844876,-79.46084439754486
Se Vende Apartamento en Costa del Este,337,800000,,
"Vendo Apto en PH Vitri Tower, Costa del Este",382,1100000,,
Victory Sport - en Construcción en Coco del Mar,77,289000,9.030610527554959,-79.48877693622273
Venta y Alquiler de Hermoso Apartamento,143,300000,8.993054700000165,-79.56084248783566
Se Alquila o Se Vende Hermoso Apartamento en PH Playa Bonita,130,1700,8.889950296443777,-79.64780632543943
Génesis Tower Precio Especial Solo Agosto. Listo Para Ocupar,117,245777,8.992411299999999,-79.50781519999998
Punta Roca - Excelente Apartamento Acabados de Lujo,530,1000000,,
"PH Toledo, Paitilla",103,162000,,
Venta Apartamento Punta Pacifica 3 Recamaras - Den,222,395000,8.97490234897959,-79.50701407691759
19 - 10951 Vendo a Estrenar Proyecto Duplicamos Tu Reserva en Coco del Mar 80 m&sup2; Km,80,205300,9.001432204840839,-79.49636971134085
Grand Tower / Punta Pacifica / $4.200,298,850000,8.976563238825916,-79.50781609206547
"Mirabel, Paitilla",130,,,
Apartamento en Venta Punta Paitilla PH Maresias Al Mejor Precio! Ige,414,672500,8.974714013638641,-79.51677945988477
Se Vende Hermoso Apartamento,121,195000,8.888654300880106,-79.66952681852723
"Oportunidad de Inversión en El Mare, Edison Park",66,125000,8.994660156096895,-79.5325666666031
Apartamento en Venta en Punta Pacifica 20 - 3846 Yd,363,920000,8.97767887823423,-79.50728229781907
Marabierto Vista Al Mar - Marbella,264,545000,8.976670799999999,-79.52093109999998
Punta Pacifica - Vendo Oficina,243,449550,,
Se Vende Apartamento en Torre Zeus Costa del Este,330,695000,,
Condominio con Acceso a La Playa en San Carlos Panamá en Venta,159,,,
Venta de Apartamento en Costa del Este,147,265000,9.01581095534991,-79.4624376296997
Vendo Apartamento Céntrico en Parque Lefevre!,59,105000,9.007111333394432,-79.50269965013727
Oferta de Apartamento en Costa del Este Vista Al Mar,205,350000,9.010194618863428,-79.46440995246166
Amplio Apartamento en Venta en San Francisco Panama,177,305000,8.987740532354966,-79.50211138108003
Rivage - Av Balboa,574,1100000,8.967064770805372,-79.53341960906984
Venta Pacific Blue - Punta Pacifica,100,170000,8.981347552451926,-79.5082524418831
Vendo Apartamento en Via España Kc20 - 5480,79,129000,9.000127074382048,-79.51747186221009
Rebajado: Vendo Lujoso Apartamento en Clayton (Embassy Club),209,625000,9.002630873251444,-79.5750772684869
Vendo Espectacular Apartamento Costa del Este Eterna Vista Al Mar,313,850000,,
Apartamento de Playa Tipo Loft en Coronado Mv20 - 7081,82,170000,,
Venta de Espectacular Apartamento en Costa del Este Cur 19 - 3838,184,485000,9.01163573284765,-79.46998894721264
"Venetian Tower, Punta Pacifica en Venta a Sólo $1,150,000 Aa - 1608",517,1150000,,
Venta de Exclusivo Apartamento en Santa Maria 20 - 764,235,725000,,
"Venta Apartamentos, Ocupacion Inmediata Villa de Las Fuentes Desde U$222,300.=",117,222300,9.0167517,-79.53331100000003
PH Miro en El Cangrejo $310 Mil 175 m&sup2; 3 Recamaras Remodelado Venta con Todo,175,310000,,
"Se Remata Apartamento en PH Keops, 3 Recamaras, 200 m. Rsw.",200,320000,8.9940373,-79.5116582
Venta PH Pacific Point/ Punta Pacifica,315,550000,8.977140403076493,-79.50744777917863
Se Vende Amplio Apartamento en Costa del Este!,225,335000,,
"Apartamento en Venta, Embassy Village",160,380000,8.9906661,-79.5620341
Pr20 Se Vende Apartamento en Hato Pintado,131,240000,,
Apartamento 2r en Tucan Contry Club,132,300000,8.9599536,-79.59200980000003
"Venta Harmony 1 Recamara $185,000",95,185000,8.990329599999999,-79.50621430000001
Apartamentos en Venta Ciudad Radial,86,120000,,
Forest Gate Torre 3 - Albrook - Pre Venta,61,150000,8.980294151254821,-79.55965523537793
Shangrila - San Francisco | Céntricos Apartamentos,87,202710,8.99321389580971,-79.51149240710964
"Venta Amplio y Céntrico Apartamento Vía Brasil, PH Metric",97,175000,8.987875421510282,-79.51511890395204
Se Vende Apartamento en Nautica Tower - Coco del Mar,174,380000,,
Buganvilla!,150,220000,8.988153819220292,-79.50460047104585
Tumba Muerto (El Dorado) 3 Recamaras 118 y 145 m&sup2; Entrega Inmediata,118,218300,9.032748796305386,-79.51316085473945
Forest Gate - Albrook | Apartamentos en Preventa,45,120000,8.974794098961967,-79.5652878743092
Venta PH Citrus San Francisco,170,280000,8.99234253391923,-79.50934419793894
Oferta Apartamento Estudio Amoblado en Trump Residences!,65,315000,8.97589058682554,-79.50585983958132
"Venta de Apartamento en Via España, PH El Marquez Id2701",80,125000,8.99656125293757,-79.51894707716826
"Venta Apartamento en PH Belview, Edison Park.",96,160000,8.994557605800471,-79.53347675018921
PH Miramar - Oportunidad Unica - Impecable Apartamento,375,750000,8.965366516352365,-79.53383799033486
"Apartamentos en Punta Pacifica, Aqualina, Ais",294,560000,8.97767887823423,-79.50728229781907
"Apartamento en Mystic Valley B/. 119,0002 Habitaciones",65,119000,,
Vendo Apartamento en Costa del Este Kc20 - 5182,520,1850000,9.01103239952232,-79.472781938794
The Panoramic,93,229000,8.97652358332161,-79.51960583914797
Via España a Estrenar en Marzo 2020,56,119300,,
Comercial en Venta Bella Vista Pp19 - 12334,67,225000,8.970572,-79.547025
Spotlight Linda Vista Pronta Entrega,75,167500,9.032029901935456,-79.51628627639082
Chiriqui Alto Boquete Apartamento en Venta o Alquiler,1,135000,,
Apartamento en Venta en San Francisco19 - 10830yd,154,339000,8.987740532354966,-79.50211138108003
Montemar - San Francisco - Apartamento Venta,90,163000,8.994802199999999,-79.5140596
Icon Tower - Hermoso y Moderno Apartamento en Coco del Mar,160,340000,9.0019613,-79.49581490000003
"Ocean One, Frenta Al Mar, Best Price! Espectacular!",330,640000,,
Bello Apartamento en Urbanización El Bosque,100,180000,,
Aproveche! Venta con Todo!165 m - Vista Al Mar - 2recs + 3baños + 2prks + Deposito,165,242500,8.5452552707706,-79.87659748120122
"Apartamento Casco Viejo, San Felipe",70,240000,,
"Vendo Amplio Apartamento en Obarrio 4 Recámaras 236 m&sup2; $267,000 #239",236,267000,,
Apartamento Full Amoblado 138 m&sup2; - Ideal Pareja o Ejecutivo,138,238000,,
El Cangrejo Apartamento en Venta Full Amoblado,1,265000,,
